course_code,title,requirement_type,required_for_majors,elective_for_majors
ECE 440,Advanced Integrated Circuit Design,engineering_electives,,
ECE 441,Digital Integrated Circuit Engineering,engineering_electives,,
ECE 442,Communication Electronics,engineering_electives,,
ECE 443,Thin-Film Electronics,engineering_electives,,
ECE 444,Bio-instrumentation and Sensing,engineering_electives,,
ECE 445,Design with Operational Amplifiers,engineering_electives,,
ECE 446,"Low-Voltage, Low-Power Electronic Circuit Design",engineering_electives,,
ECE 447,Digital VLSI System Design,engineering_electives,,
ECE 448,Power Electronics,engineering_electives,,
ECE 449,Recent Advances in Bioelectronics,engineering_electives,,
ECE 453,Advanced Computer Architecture,engineering_electives,,
ECE 455,Cybersecurity,engineering_electives,,
ECE 458,Quantum Computing,engineering_electives,,
ECE 460,Selected Topics in Computer Engineering,engineering_electives,,
ECE 461,Theoretical Computer Science,engineering_electives,,
ECE 462,Computer Graphics,engineering_electives,,
ECE 464,Databases,engineering_electives,,
ECE 465,Cloud Computing,engineering_electives,,
ECE 466,Compilers,engineering_electives,,
ECE 467,Natural Language Processing,engineering_electives,,
ECE 468,Computer Vision,engineering_electives,,
ECE 469,Artificial Intelligence,engineering_electives,,
ECE 471,Selected Topics in Machine Learning,engineering_electives,,
ECE 472,Deep Learning,engineering_electives,,
ECE 474,Bayesian Machine Learning,engineering_electives,,
ECE 475,Frequentist Machine Learning,engineering_electives,,
ECE 476,Data Science for Social Good,engineering_electives,,
ECE 478,Financial Signal Processing,engineering_electives,,
ECE 479,Big Data for Finance,engineering_electives,,
ECE 491,Selected Topics in Electrical & Computer Engineering,engineering_electives,,
ECE 499,Thesis/Project,engineering_electives,,
ME 103,Statics,required_coursework,me,
ME 104,Measurements Laboratory,required_coursework,me,
ME 105,Drawing and Sketching for Engineers,engineering_electives,,
ME 200,Dynamics,required_coursework,me,
ME 211,Design and Prototyping,required_coursework,me,
ME 231,Sustainable Energetics,engineering_electives,,
ME 251,Systems Engineering,engineering_electives,,
ME 300,Stress and Applied Elasticity,required_coursework,me,
ME 301,Mechanical Vibrations,required_coursework,me,
ME 310,Design Elements,engineering_electives,,
ME 311,Mechanical Design,engineering_electives,,
ME 312,Manufacture Engineering (same as EID 312),required_coursework,me,
ME 313,Introduction to Industrial Design,engineering_electives,,
ME 314,Cloud-Based Design and Manufacture,engineering_electives,,
ME 331,Advanced Thermodynamics,required_coursework,me,
